!SIL 1.0	SIL
<UNK> 1.0	SPN
değişkenlik 1.0	d e j i S c e n n i c
değişkenlik 1.0	d i: S c e n l i c
değişkenlik 1.0	d i: S c e n n i c
gösterir 1.0	gj 2 s t e r i r
kardeşinin 1.0	k a r d e S i n i n
kuşkularına 1.0	k u S k u 5 a r 1 n a
newdigate 1.0	n i: v d i dZ e j t
newdigate 1.0	n i: v d i dZ e i t
charterhouseda 1.0	tS a r t 1 r h a u s t a
charterhouseda 1.0	tS a r t 1 r h o u z d a
charterhouseda 1.0	tS a r t 1 r h a v z d a
mavi 1.0	m a v i
gömlek 1.0	gj 2 m l e c
pantolon 1.0	p a n t o 5 o n
giyen 1.0	gj i j e n
çığlıklar 1.0	tS 1: 5 1 k 5 a r
çığlıklar 1.0	tS 1 G 5 1 k 5 a r
düzen 1.0	d y z e n
başkan 1.0	b a S k a n
bırak 1.0	b 1 r a k
vb 1.0	v b
evlilikten 1.0	e v l i l i c t e n
çocuklar 1.0	tS o dZ u k 5 a r
adam 1.0	a d a m
suyun 1.0	s u j u n
yanındaki 1.0	j a n 1 n d a c i
sütunun 1.0	s y t u n u n
duruyor 1.0	d u r u j o
duruyor 1.0	d u r u j o r
balıklar 1.0	b a 5 1 k 5 a r
suya 1.0	s u j a
sahip 1.0	s a h i p
büyüklükteki 1.0	b y j y c l y c t e c i
derelerde 1.0	d e r e l e r d e
bulunur 1.0	b u 5 u n u r
şehirdeki 1.0	S e h i r d e c i
toplanmış 1.0	t o p 5 a n m 1 S
kanunlar 1.0	k a: n u n 5 a r
kanunlar 1.0	k a: n u n n a r
edilen 1.0	e d i l e n
ormancılık 1.0	o r m a n dZ 1 5 1 k
yasasıydı 1.0	j a s a s 1 j d 1
savaş 1.0	s a v a S
yıllarında 1.0	j 1 5 5 a r 1 n d a
şirketini 1.0	S i r c e t i n i
genişletmek 1.0	gj e n i S l e t m e c
konuma 1.0	k o n u m a
dikilitaş 1.0	d i k i 5 i t a S
kadranları 1.0	k a d r a n 5 a r 1
kadranları 1.0	k a d r a n n a r 1
bölümden 1.0	b 2 l y m d e n
oluşmaktadır 1.0	o 5 u S m a k t a d 1 r
belçika 1.0	b e 5 tS i k a
ehliyetiyle 1.0	e h l i j e t i j l e
yarışlarda 1.0	j a r 1 S 5 a r d a
almanyayı 1.0	a 5 m a n j a j 1
temsil 1.0	t e m s i l
adını 1.0	a d 1 n 1
kutbu 1.0	k u t b u
kaşifi 1.0	c a: S i f i
william 1.0	v i 5 i 1 m
william 1.0	v i 5 j 1 m
edward 1.0	e d v 1 r t
edward 1.0	e d v 1 r d
parry’den 1.0	p e r i d e n
parry’den 1.0	p e r j d e n
alıyor 1.0	a 5 1 j o
alıyor 1.0	a 5 1 j o r
okula 1.0	o k u 5 a
kalın 1.0	k a 5 1 n
formatta 1.0	f o r m a t t a
yazılır 1.0	j a z 1 5 1 r
sarah’yı 1.0	s a r a j 1
öldürmeye 1.0	2 l d y r m e j e
suçtan 1.0	s u tS t a n
tutuklandı 1.0	t u t u k 5 a n d 1
kar 1.0	c a r
kar 1.0	k a r
yağışı 1.0	j a 1 S 1
yağışı 1.0	j a G 1 S 1
yağışı 1.0	j a: S 1
kayın 1.0	k a j 1 n
ağacı 1.0	a: dZ 1
ağacı 1.0	a G a dZ 1
sansarları 1.0	s a n s a r 5 a r 1
yaban 1.0	j a b a n
tavşanları 1.0	t a v S a n 5 a r 1
tavşanları 1.0	t a v S a n n a r 1
kızaklar 1.0	k 1 z a k 5 a r
açılan 1.0	a tS 1 5 a n
yollarda 1.0	j o 5 5 a r d a
hareket 1.0	h a r e c e t
eder 1.0	e d e r
okulun 1.0	o k u 5 u n
renkleri 1.0	r e n k l e r i
altın 1.0	a 5 t 1 n
rengidir 1.0	r e n gj i d i r
bölgenin 1.0	b 2 l gj e n i n
yöneticisi 1.0	j 2 n e t i dZ i s i
martindir 1.0	m a r t i n d i r
başlangıçta 1.0	b a S 5 a N g 1 tS t a
sapkın 1.0	s a p k 1 n
bazı 1.0	b a z 1
bazı 1.0	b a: z 1
inançlar 1.0	i n a n tS 5 a r
akım 1.0	a k 1 m
haline 1.0	h a l i n e
haline 1.0	h a: l i n e
geldi 1.0	gj e l d i
utahtan 1.0	j u t a h d a n
utahtan 1.0	j u t a h t a n
kaliforniyaya 1.0	k a 5 i f o r n i j a j a
arayan 1.0	a r a j a n
gruba 1.0	g u r u b a
rehberlik 1.0	r e h b e r l i c
yapmıştır 1.0	j a p m 1 S t 1 r
aniden 1.0	a: n i d e n
düdük 1.0	d y d y c
çaldı 1.0	tS a 5 d 1
müşteriler 1.0	m y S t e r i l e r
tatil 1.0	t a t i l
sezonu 1.0	s e z o n u
boyunca 1.0	b o j u n dZ a
ürün 1.0	y r y n
satın 1.0	s a t 1 n
kraliyet 1.0	k 1 r a: l i j e t
kalesi 1.0	k a l e s i
fiberler 1.0	f i b e r l e r
tipik 1.0	t i p i c
kademeli 1.0	k a d e m e l i
fiberlerdir 1.0	f i b e r 5 e r d i r
qveri 1.0	k u v e r i
qveri 1.0	k y v e r i
yoluna 1.0	j o 5 u n a
blok 1.0	b 1 l o k
transfer 1.0	t 1 r a n s f e r
modları 1.0	m o d 5 a r 1
eklendi 1.0	e c l e n d i
robotik 1.0	r o b o t i k
grubu 1.0	g u r u b u
birliği 1.0	b i r l i:
birliği 1.0	b i r l i G i
coğrafya 1.0	dZ o G r a f j a
coğrafya 1.0	dZ o: r a f j a
tiplerini 1.0	t i p l e r i n i
yakalamak 1.0	j a k a 5 a m a k
hakkında 1.0	h a k k 1 n d a
konuşuyordu 1.0	k o n u S u j o d u
konuşuyordu 1.0	k o n u S u j o r d u
saldırı 1.0	s a 5 d 1 r 1
başarısız 1.0	b a S a r 1 s 1 z
duffy 1.0	d a f f i
duffy 1.0	d a f f j
ölenler 1.0	2 l e n l e r
ölenler 1.0	2 l e n n e r
cihazı 1.0	dZ i h a z 1
çıkarıldı 1.0	tS 1 k a r 1 5 d 1
lamba’nın 1.0	5 a m b a  n 1 n
ilan 1.0	i l a n
metafor 1.0	m e t a f o r
kaydırmacanın 1.0	k a j d 1 r m a dZ a n 1 n
felsefi 1.0	f e l s e f i:
söylemi 1.0	s 2 j l e m i
alan 1.0	a 5 a n
kinayeler 1.0	c i n a: j e l e r
öne 1.0	2 n e
sürüyor 1.0	s y r y j o
sürüyor 1.0	s y r y j o r
kalmaktan 1.0	k a 5 m a k t a n
iyisi 1.0	i j i s i
hayvan 1.0	h a j v a n
çıkaran 1.0	tS 1 k a r a n
cihazın 1.0	dZ i h a z 1 n
kumanda 1.0	k u m a n d a
edilebilmesi 1.0	e d i l e b i l m e s i
avcının 1.0	a v dZ 1 n 1 n
kendisini 1.0	c e n d i s i n i
tuzağa 1.0	t u z a:
tuzağa 1.0	t u z a G a
çekilen 1.0	tS e c i l e n
hayvanlardan 1.0	h a j v a n 5 a r d a n
hayvanlardan 1.0	h a j v a n n a r d a n
gizlemesini 1.0	gj i z l e m e s i n i
sağlar 1.0	s a: 5 a r
sağlar 1.0	s a G 5 a r
eline 1.0	e l i n e
kurşunkalem 1.0	k u r S u n k a 5 e m
alarak 1.0	a 5 a r a k
kâğıdı 1.0	k a G 1 d 1
karalamaya 1.0	k a r a 5 a m a j a
devlet 1.0	d e v l e t
okulu 1.0	o k u 5 u
tehlikeli 1.0	t e h l i c e l i
yasal 1.0	j a s a 5
ilaç 1.0	i l a tS
gerin 1.0	gj e r i n
yağı 1.0	j a:
yağı 1.0	j a 1
yağı 1.0	j a G 1
geriniol’u 1.0	gj e r i n i o 5  u
anlatır 1.0	a n 5 a t 1 r
anlatır 1.0	a n n a t 1 r
boşboğazın 1.0	b o S b o: a z 1 n
boşboğazın 1.0	b o S b o G a z 1 n
sigarası 1.0	s i gj a r a s 1
yanmaz 1.0	j a n m a z
açılma 1.0	a tS 1 5 m a
alırsın 1.0	a 5 1 r s 1 n
zalim 1.0	z a l i m
kadıdan 1.0	k a d 1 d a n
insaflı 1.0	i n s a f 5 1
subaşı 1.0	s u b a S 1
yeğdir 1.0	j e: d i r
yeğdir 1.0	j e G d i r
malın 1.0	m a 5 1 n
boğazdan 1.0	b o: a z d a n
boğazdan 1.0	b o G a z d a n
ardında 1.0	a r d 1 n d a
yüz 1.0	j y z
havlamayan 1.0	h a v 5 a m a j a n
kurt 1.0	k u r t
sayılmaz 1.0	s a j 1 5 m a z
hırsızlık 1.0	h 1 r s 1 z 5 1 k
ekmekten 1.0	e c m e c t e n
kahpelik 1.0	k a h p e l i c
öpmekten 1.0	2 p m e c t e n
akıllı 1.0	a k 1 5 5 1
köprü 1.0	c 2 p r y
arayıncaya 1.0	a r a j 1 n dZ a j a
dek 1.0	d e c
suyu 1.0	s u j u
yerinden 1.0	j e r i n d e n
karnını 1.0	k a r n 1 n 1
deştiği 1.0	d e S t i:
deştiği 1.0	d e S t i G i
adamlar 1.0	a d a m 5 a r
hafta 1.0	h a f t a
haydarpaşaya 1.0	h a j d a r p a S a j a
trene 1.0	t i r e n e
yürüye 1.0	j y r y j e
gidiyorlar 1.0	gj i d i j o 5 a r
gidiyorlar 1.0	gj i d i j o r 5 a r
istedin 1.0	i s t e d i n
beybaba 1.0	b e j b a b a
soruyordu 1.0	s o r u j o d u
soruyordu 1.0	s o r u j o r d u
misafiri 1.0	m i s a f i r i
istemez 1.0	i s t e m e z
ev 1.0	e v
ikisini 1.0	i c i s i n i
rüzgâra 1.0	r y z gj a r a
tüküren 1.0	t y c y r e n
tükürür 1.0	t y c y r y r
kapadım 1.0	k a p a d 1 m
gündüz 1.0	gj y n d y z
yağar 1.0	j a G a r
yağar 1.0	j a: r
açar 1.0	a tS a r
yıl 1.0	j 1 5
bozgunluğu 1.0	b o z gj u n 5 u G u
söyler 1.0	s 2 j l e r
erkek 1.0	e r c e c
susar 1.0	s u s a r
düğün 1.0	d y G y n
düğün 1.0	d y: n
bayram 1.0	b a j r a m
eniştem 1.0	e n i S t e m
niye 1.0	n i j e
aç 1.0	a tS
arslana 1.0	a r s 5 a n a
saldırır 1.0	s a 5 d 1 r 1 r
giren 1.0	gj i r e n
etrafına 1.0	e t r a f 1 n a
bakınarak 1.0	b a k 1 n a r a k
parayı 1.0	p a r a j 1
veren 1.0	v e r e n
düdüğü 1.0	d y d y:
düdüğü 1.0	d y d y G y
çalar 1.0	tS a 5 a r
baba 1.0	b a b a
mirası 1.0	m i r a s 1
yanan 1.0	j a n a n
mum 1.0	m u m
gibidir 1.0	gj i b i d i r
anan 1.0	a n a n
saç 1.0	s a tS
büyüteceğine 1.0	b y j y t e dZ e G i n e
büyüteceğine 1.0	b y j y t e dZ e j i n e
büyüteceğine 1.0	b y j y t e dZ i: n e
baban 1.0	b a b a n
bıyık 1.0	b 1 j 1 k
büyüt 1.0	b y j y t
fıkaralık 1.0	f 1 k a r a 5 1 k
allı 1.0	a 5 5 1
yelek 1.0	j e l e c
pullu 1.0	p u 5 5 u
canfes 1.0	dZ a n f e s
neye 1.0	n e j e
çekinecek 1.0	tS e c i n e dZ e c
karıkoca 1.0	k a r 1 k o dZ a
sözle 1.0	s 2 z l e
uzaktır 1.0	u z a k t 1 r
yuvayı 1.0	j u v a j 1
yapan 1.0	j a p a n
dişi 1.0	d i S i
kuştur 1.0	k u S t u r
geçen 1.0	gj e tS e n
malmüdürünün 1.0	m a 5 m y d y r y n y n
nerede 1.0	n e r e d e
öldüydü 1.0	2 5 d y j d y
elçiye 1.0	e l tS i j e
zeval 1.0	z e v a 5
olmaz 1.0	o 5 m a z
havlayan 1.0	h a v 5 a j a n
ısırmaz 1.0	1 s 1 r m a z
düşman 1.0	d y S m a n
düşmanın 1.0	d y S m a n 1 n
bilmez 1.0	b i l m e z
pehlivan 1.0	p e h l i v a n
gündüzün 1.0	gj y n d y z y n
yakan 1.0	j a k a n
geceyle 1.0	gj e dZ e j l e
bulamaz 1.0	b u 5 a m a z
tavşanı 1.0	t a v S a n 1
tazı 1.0	t a z 1
tutar 1.0	t u t a r
çalımı 1.0	tS a 5 1 m 1
avcı 1.0	a v dZ 1
satar 1.0	s a t a r
bakmış 1.0	b a k m 1 S
beklemenin 1.0	b e c l e m e n i n
emine 1.0	e m i n e
emine 1.0	e m i: n e
obadan 1.0	o b a d a n
indiği 1.0	i n d i:
indiği 1.0	i n d i G i
bahçede 1.0	b a h tS e d e
oturtmuş 1.0	o t u r t m u S
şaşkın 1.0	S a S k 1 n
ördek 1.0	2 r d e c
tersten 1.0	t e r s t e n
dalar 1.0	d a 5 a r
mahluklar 1.0	m a h 5 u k 5 a r
boşuna 1.0	b o S u n a
uğraşmak 1.0	u G r a S m a k
uğraşmak 1.0	u: r a S m a k
istemiyorlar 1.0	i s t e m i j o 5 a r
istemiyorlar 1.0	i s t e m i j o r 5 a r
lafla 1.0	l a f 5 a
pilav 1.0	p i l a v
pişerse 1.0	p i S e r s e
benden 1.0	b e n d e n
arabacı 1.0	a r a b a dZ 1
atları 1.0	a t 5 a r 1
öndekilere 1.0	2 n d e c i l e r e
yetişti 1.0	j e t i S t i
müteahhitlerle 1.0	m y t e a h h i t l e r l e
başa 1.0	b a S a
çıkamıyoruz 1.0	tS 1 k a m 1 j o r u z
babası 1.0	b a b a s 1
berbermiş 1.0	b e r b e r m i S
teke 1.0	t e c e
eti 1.0	e t i
olur 1.0	o 5 u r
keçi 1.0	c e tS i
yel 1.0	j e l
babasına 1.0	b a b a s 1 n a
etmeyenin 1.0	e t m e j e n i n
hayrı 1.0	h a j r 1
acar 1.0	a dZ a r
çullu 1.0	tS u 5 5 u
çulsuz 1.0	tS u 5 s u z
malum 1.0	m a 5 u m
yorganına 1.0	j o r gj a n 1 n a
ayağını 1.0	a j a 1 n 1
ayağını 1.0	a j a G 1 n 1
ayağını 1.0	a j a: n 1
uzat 1.0	u z a t
demişler 1.0	d e m i S l e r
doğrunun 1.0	d o G r u n u n
doğrunun 1.0	d o: r u n u n
yardımcısıdır 1.0	j a r d 1 m dZ 1 s 1 d 1 r
kenarın 1.0	c e n a r 1 n
dilberi 1.0	d i l b e r i
nazik 1.0	n a z i c
olsa 1.0	o 5 s a
nazenin 1.0	n a z e n i n
aça 1.0	a tS a
yorgan 1.0	j o r gj a n
örtmüşler 1.0	2 r t m y S l e r
yine 1.0	j i n e
uyuyamamış 1.0	u j u j a m a m 1 S
ölüsü 1.0	2 l y s y
ağlar 1.0	a: 5 a r
ağlar 1.0	a G 5 a r
delisi 1.0	d e l i s i
anayı 1.0	a n a j 1
kızdan 1.0	k 1 z d a n
ayıran 1.0	a j 1 r a n
eh 1.0	e h
koyun 1.0	k o j u n
deyip 1.0	d e j i p
geçmeyelim 1.0	gj e tS m e j e l i m
projektörün 1.0	p 1 r o Z e c t 2 r y n
ışığında 1.0	1 S 1 G 1 n d a
ışığında 1.0	1 S 1: n d a
cebimden 1.0	dZ e b i m d e n
lira 1.0	l i r a
çıkardım 1.0	tS 1 k a r d 1 m
aşk 1.0	a S k
ağlatır 1.0	a: 5 a t 1 r
ağlatır 1.0	a G 5 a t 1 r
dert 1.0	d e r t
söyletir 1.0	s 2 j l e t i r
tembele 1.0	t e m b e l e
buyur 1.0	b u j u r
öğretsin 1.0	2 G r e t s i n
öğretsin 1.0	2: r e t s i n
kısmette 1.0	k 1 s m e t t e
yazılı 1.0	j a z 1 5 1
ise 1.0	i s e
evinizde 1.0	e v i n i z d e
oturuyorsunuz 1.0	o t u r u j o r s u n u z
oturuyorsunuz 1.0	o t u r u j o s u n u z
ağanın 1.0	a G a n 1 n
ağanın 1.0	a: n 1 n
gözü 1.0	gj 2 z y
öküzü 1.0	2 c y z y
semiz 1.0	s e m i z
günlük 1.0	gj y n l y c
günlük 1.0	gj y n n y c
macera 1.0	m a dZ e r a
sarstı 1.0	s a r s t 1
gezmektense 1.0	gj e z m e c t e n s e
tok 1.0	t o k
ölmek 1.0	2 l m e c
hak 1.0	h a k
varken 1.0	v a r c e n
bok 1.0	b o k
seçilmez 1.0	s e tS i l m e z
savuruyor 1.0	s a v u r u j o
savuruyor 1.0	s a v u r u j o r
dişsiz 1.0	d i S s i z
ağzıyla 1.0	a G z 1 j 5 a
ağzıyla 1.0	a: z 1 j 5 a
geveleye 1.0	gj e v e l e j e
söylüyordu 1.0	s 2 j l y j o d u
söylüyordu 1.0	s 2 j l y j o r d u
atlı 1.0	a t 5 1
kaçar 1.0	k a tS a r
yaya 1.0	j a j a
arkasına 1.0	a r k a s 1 n a
düşer 1.0	d y S e r
ayranım 1.0	a j r a n 1 m
ekşidir 1.0	e c S i d i r
diyen 1.0	d i j e n
armudu 1.0	a r m u d u
sapıyla 1.0	s a p 1 j 5 a
üzümü 1.0	y z y m y
çöpüyle 1.0	tS 2 p y j l e
pekmezi 1.0	p e c m e z i
küpüyle 1.0	c y p y j l e
karpuz 1.0	k a r p u z
kesmekle 1.0	c e s m e c l e
hararet 1.0	h a r a: r e t
sönmez 1.0	s 2 n m e z
tazyik 1.0	t a z j i c
gözümde 1.0	gj 2 z y m d e
küçültmüyordu 1.0	k y tS y 5 t m y j o r d u
ağzından 1.0	a G z 1 n d a n
ağzından 1.0	a: z 1 n d a n
akıyor 1.0	a k 1 j o
akıyor 1.0	a k 1 j o r
vakti 1.0	v a k t i
horoz 1.0	h o r o z
vaktinde 1.0	v a k t i n d e
öter 1.0	2 t e r
kedinin 1.0	c e d i n i n
kanadı 1.0	k a n a d 1
olsaydı 1.0	o 5 s a j d 1
serçenin 1.0	s e r tS e n i n
kalmazdı 1.0	k a 5 m a z d 1
gücük 1.0	gj y dZ y c
iti 1.0	i t i
soludurum 1.0	s o 5 u d u r u m
devenin 1.0	d e v e n i n
kuyruğuna 1.0	k u j r u G u n a
kuyruğuna 1.0	k u j r u: n a
demiş 1.0	d e m i S
yetmez 1.0	j e t m e z
artmaz 1.0	a r t m a z
kadı 1.0	k a d 1
anlatana 1.0	a n 5 a t a n a
anlatana 1.0	a n n a t a n a
fetva 1.0	f e t v a
anansa 1.0	a n a n s a
bostana 1.0	b o s t a n a
dadanan 1.0	d a d a n a n
eşeğin 1.0	e S e G i n
eşeğin 1.0	e S e j i n
eşeğin 1.0	e S i: n
kuyruğu 1.0	k u j r u:
kuyruğu 1.0	k u j r u G u
kulağı 1.0	k u 5 a:
kulağı 1.0	k u 5 a 1
kulağı 1.0	k u 5 a G 1
akılsızın 1.0	a k 1 5 s 1 z 1 n
şaşkını 1.0	S a S k 1 n 1
giyer 1.0	gj i j e r
kış 1.0	k 1 S
günü 1.0	gj y n y
zekâlar 1.0	z e k e a 5 a r
düşünürler 1.0	d y S y n y r l e r
serçeden 1.0	s e r tS e d e n
korkan 1.0	k o r k a n
darı 1.0	d a r 1
ekmez 1.0	e c m e z
ısıran 1.0	1 s 1 r a n
it 1.0	i t
dişini 1.0	d i S i n i
göstermez 1.0	gj 2 s t e r m e z
ak 1.0	a k
bacağından 1.0	b a dZ a 1 n d a n
bacağından 1.0	b a dZ a G 1 n d a n
bacağından 1.0	b a dZ a: n d a n
kara 1.0	c a: r a
kara 1.0	k a r a
asılır 1.0	a s 1 5 1 r
arşın 1.0	a r S 1 n
malı 1.0	m a 5 1
kantar 1.0	k a n t a r
satılmaz 1.0	s a t 1 5 m a z
adamdır 1.0	a d a m d 1 r
olmasa 1.0	o 5 m a s a
pulu 1.0	p u 5 u
eşek 1.0	e S e c
eşektir 1.0	e S e c t i r
çulu 1.0	tS u 5 u
keseye 1.0	c e s e j e
danış 1.0	d a n 1 S
pazarlığa 1.0	p a z a r 5 1 a
pazarlığa 1.0	p a z a r 5 1 G a
elma 1.0	e l m a
gönül 1.0	gj 2 n y l
alma 1.0	a 5 m a
çaydanlığı 1.0	tS a j d a n 5 1:
çaydanlığı 1.0	tS a j d a n 5 1 G 1
çaydanlığı 1.0	tS a j d a n n 1:
çaydanlığı 1.0	tS a j d a n n 1 G 1
hademe 1.0	h a d e m e
ismaile 1.0	i s m a i 5 e
verip 1.0	v e r i p
mutfağa 1.0	m u t f a:
mutfağa 1.0	m u t f a G a
saldım 1.0	s a 5 d 1 m
su 1.0	s u
gelmeden 1.0	gj e l m e d e n
rahmetli 1.0	r a h m e t l i
can 1.0	dZ a n
teslim 1.0	t e s l i m
koca 1.0	k o dZ a
öküz 1.0	2 c y z
çalıştım 1.0	tS a 5 1 S t 1 m
doyunca 1.0	d o j u n dZ a
yemedim 1.0	j e m e d i m
kulübedeki 1.0	k u l y b e d e c i
ocak 1.0	o dZ a k
haftalardır 1.0	h a f t a 5 a r d 1 r
yakılmamışa 1.0	j a k 1 5 m a m 1 S a
bakmaktan 1.0	b a k m a k t a n
şahin 1.0	S a h i n
deve 1.0	d e v e
ot 1.0	o t
ucuna 1.0	u dZ u n a
bak 1.0	b a k
bezini 1.0	b e z i n i
anasına 1.0	a n a s 1 n a
kızını 1.0	k 1 z 1 n 1
uyuz 1.0	u j u z
sürüyü 1.0	s y r y j y
boklar 1.0	b o k 5 a r
ödlek 1.0	2 d l e c
çoban 1.0	tS o b a n
kaçıp 1.0	k a tS 1 p
canını 1.0	dZ a n 1 n 1
zor 1.0	z o r
kurtardı 1.0	k u r t a r d 1
görünmedi 1.0	gj 2 r y n m e d i
şöhret 1.0	S 2 h r e t
felakettir 1.0	f e l a: c e t t i r
âdemoğlu 1.0	e a d e m o G 5 u
hîlebâzdır 1.0	h i: 5 e b e a z d 1 r
fendini 1.0	f e n d i n i
kime 1.0	c i m e
rağbet 1.0	r a: b e t
rağbet 1.0	r a G b e t
edersen 1.0	e d e r s e n
sakın 1.0	s a k 1 n
andan 1.0	a n d a n
parası 1.0	p a r a s 1
ucuz 1.0	u dZ u z
olanın 1.0	o 5 a n 1 n
kıymetli 1.0	k 1 j m e t l i
ortaklık 1.0	o r t a k 5 1 k
öküzden 1.0	2 c y z d e n
buzağı 1.0	b u z a:
buzağı 1.0	b u z a 1
buzağı 1.0	b u z a G 1
hayalinde 1.0	h a j a: l i n d e
hayalinde 1.0	h a j a: l i: n d e
şekillerini 1.0	S e c i l l e r i n i
canlandırdı 1.0	dZ a n 5 a n d 1 r d 1
canlandırdı 1.0	dZ a n n a n d 1 r d 1
ağaca 1.0	a: dZ a
ağaca 1.0	a G a dZ a
çıksa 1.0	tS 1 k s a
pabucu 1.0	p a b u dZ u
kalmaz 1.0	k a 5 m a z
açılış 1.0	a tS 1 5 1 S
töreni 1.0	t 2 r e n i
aslan 1.0	a s 5 a n
yattığı 1.0	j a t t 1:
yattığı 1.0	j a t t 1 G 1
yerden 1.0	j e r d e n
kalaylı 1.0	k a 5 a j 5 1
bakır 1.0	b a k 1 r
küflenmez 1.0	c y f l e n m e z
araba 1.0	a r a b a
farkına 1.0	f a r k 1 n a
varmadığımız 1.0	v a r m a d 1 G 1 m 1 z
varmadığımız 1.0	v a r m a d 1: m 1 z
süratle 1.0	s y r a t l e
karanlığa 1.0	k a r a n 5 1 a
karanlığa 1.0	k a r a n 5 1 G a
karanlığa 1.0	k a r a n n 1 a
karanlığa 1.0	k a r a n n 1 G a
gidiyordu 1.0	gj i d i j o d u
gidiyordu 1.0	gj i d i j o r d u
haydan 1.0	h a j d a n
huya 1.0	h u j a
gider 1.0	gj i d e r
akla 1.0	a k 5 a
gelmeyen 1.0	gj e l m e j e n
kabuğunu 1.0	k a b u G u n u
kabuğunu 1.0	k a b u: n u
görmeden 1.0	gj 2 r m e d e n
denize 1.0	d e n i z e
girme 1.0	gj i r m e
görmemişin 1.0	gj 2 r m e m i S i n
oğlu 1.0	o: 5 u
oğlu 1.0	o G 5 u
çekmiş 1.0	tS e c m i S
çükünü 1.0	tS y k y n y
koparmış 1.0	k o p a r m 1 S
fit 1.0	f i t
büyü 1.0	b y j y
yerini 1.0	j e r i n i
at 1.0	a t
günde 1.0	gj y n d e
yediği 1.0	j e d i:
yediği 1.0	j e d i G i
unutur 1.0	u n u t u r
akara 1.0	a k a r a
kokara 1.0	k o k a r a
bakma 1.0	b a k m a
çuvala 1.0	tS u w a 5 a
girene 1.0	gj i r e n e
kazanan 1.0	k a z a n a n
kazanır 1.0	k a z a n 1 r
kocamakla 1.0	k o dZ a m a k 5 a
tavla 1.0	t a v 5 a
başı 1.0	b a S 1
miras 1.0	m i r a s
helal 1.0	h e l a l
abdal 1.0	a b d a 5
düğünden 1.0	d y G y n d e n
düğünden 1.0	d y: n d e n
oyundan 1.0	o j u n d a n
usanmaz 1.0	u s a n m a z
günün 1.0	gj y n y n
gezen 1.0	gj e z e n
gezer 1.0	gj e z e r
turp 1.0	t u r p
şalgam 1.0	S a 5 gj a m
sen 1.0	s e n
gülbe 1.0	gj y 5 b e
şeker 1.0	S e c e r
mazlumun 1.0	m a z 5 u m u n
ahını 1.0	a h 1 n 1
çıkar 1.0	tS 1 k a r
aheste 1.0	a h e s t e
söyleyeni 1.0	s 2 j l e j e n i
köyden 1.0	c 2 j d e n
kovarlar 1.0	k o w a r 5 a r
sıkıcı 1.0	s 1 k 1 dZ 1
tandır 1.0	t a n d 1 r
başında 1.0	b a S 1 n d a
bağ 1.0	b a:
bağ 1.0	b a G
dikmek 1.0	d i c m e c
kolaydır 1.0	k o 5 a j d 1 r
kafayı 1.0	k a f a j 1
gülüp 1.0	gj y l y p
duruyordu 1.0	d u r u j o d u
duruyordu 1.0	d u r u j o r d u
arık 1.0	a r 1 k
ata 1.0	a t a
yüktür 1.0	j y c t y r
yaz 1.0	j a z
dilden 1.0	d i l d e n
elden 1.0	e l d e n
gelse 1.0	gj e l s e
fukara 1.0	f u k a r a:
padişah 1.0	p a d i S a h
hilafım 1.0	h i l a: f 1 m
yerimden 1.0	j e r i m d e n
kalkmayayım 1.0	k a 5 k m a j a j 1 m
zengin 1.0	z e n gj i n
helvasını 1.0	h e l v a s 1 n 1
baldan 1.0	b a 5 d a n
pişirir 1.0	p i S i r i r
züğürt 1.0	z y G y r t
züğürt 1.0	z y: r t
derman 1.0	d e r m a n
pekmez 1.0	p e c m e z
toprak 1.0	t o p r a k
tabanına 1.0	t a b a n 1 n a
serilen 1.0	s e r i l e n
kilimlerden 1.0	c i l i m l e r d e n
bulut 1.0	b u 5 u t
tozlar 1.0	t o z 5 a r
kaldırarak 1.0	k a 5 d 1 r a r a k
oynuyordu 1.0	o j n u j o d u
oynuyordu 1.0	o j n u j o r d u
bekarlık 1.0	b e c a r 5 1 k
sultanlık 1.0	s u 5 t a n 5 1 k
sultanlık 1.0	s u 5 t a n n 1 k
ecel 1.0	e dZ e l
cihane 1.0	dZ i h a n e
baş 1.0	b a S
bahane 1.0	b a h a: n e
kemikle 1.0	c e m i c l e
deri 1.0	d e r i
yemekle 1.0	j e m e c l e
diri 1.0	d i r i
allahtan 1.0	a 5 5 a h t a n
umut 1.0	u m u t
kesilmez 1.0	c e s i l m e z
güne 1.0	gj y n e
giyinmek 1.0	gj i j i n m e c
ekincinin 1.0	e c i n dZ i n i n
yarmışlar 1.0	j a r m 1 S 5 a r
yılcık 1.0	j 1 5 dZ 1 k
bıldırcık 1.0	b 1 5 d 1 r dZ 1 k
çıkmış 1.0	tS 1 k m 1 S
gelmez 1.0	gj e l m e z
ameliyat 1.0	a m e l i j a t
yaparız 1.0	j a p a r 1 z
tıraş 1.0	t 1 r a S
herkese 1.0	h e r c e s e
çalışır 1.0	tS a 5 1 S 1 r
salak 1.0	s a 5 a k
arpa 1.0	a r p a
eken 1.0	e c e n
biçmez 1.0	b i tS m e z
göze 1.0	gj 2 z e
yasak 1.0	j a s a k
mart 1.0	m a r t
ayların 1.0	a j 5 a r 1 n
çingenesidir 1.0	tS i n gj e n e s i d i r
borç 1.0	b o r tS
yapar 1.0	j a p a r
çoluk 1.0	tS o 5 u k
yatar 1.0	j a t a r
sauerbruchla 1.0	z a u e r b u r u h 5 a
